Light curve of GRB : bn081224887
Energy range : 50 to 300 keV
Trigger time (MET s) : 251846276.414
Tstart (s)	Counts/s
42.18720191425312	4390.625
42.25120597966877	4640.625
42.31521004508441	4562.5
42.37921411050006	4234.375
42.4432181759157	4781.25
42.50722224133136	4171.875
42.57122630674701	4390.625
42.63523037216265	4312.5
42.6992344375783	4046.875
42.76323850299394	4640.625
42.82724256840959	4250.0
42.89124663382525	4187.5
42.95525069924089	4609.375
43.01925476465654	4093.75
43.08325883007218	4453.125
43.14726289548783	4250.0
43.21126696090347	4109.375
43.27527102631912	4359.375
43.33927509173478	4296.875
43.40327915715042	4234.375
43.46728322256607	4828.125
43.53128728798171	4359.375
43.59529135339736	4625.0
43.659295418813	4593.75
43.72329948422866	4296.875
43.78730354964431	4750.0
43.85130761505995	4359.375
43.9153116804756	4250.0
43.97931574589124	4453.125
44.04331981130689	4750.0
44.10732387672253	4812.5
44.17132794213819	3968.75
44.235332007553836	4312.5
44.29933607296948	4234.375
44.36334013838513	4031.25
44.42734420380077	4218.75
44.49134826921642	4390.625
44.55535233463206	4265.625
44.61935640004772	4484.375
44.683360465463366	3781.25
44.74736453087901	4015.625
44.811368596294656	4531.25
44.8753726617103	3875.0
44.939376727125946	4890.625
