Tstart (s),Counts/s,Cumulative Sum
18.505697710463643,4265.625,3387484.375
18.569701775879288,4593.75,3392078.125
18.63370584129494,4375.0,3396453.125
18.697709906710585,4718.75,3401171.875
18.76171397212623,4328.125,3405500.0
18.825718037541876,4437.5,3409937.5
18.889722102957528,4265.625,3414203.125
18.953726168373173,4265.625,3418468.75
19.017730233788818,4171.875,3422640.625
19.08173429920447,5000.0,3427640.625
19.145738364620115,4406.25,3432046.875
19.20974243003576,4718.75,3436765.625
19.273746495451412,4703.125,3441468.75
19.337750560867057,4296.875,3445765.625
19.401754626282703,4578.125,3450343.75
19.465758691698355,4734.375,3455078.125
19.529762757114,4328.125,3459406.25
19.593766822529645,4406.25,3463812.5
19.65777088794529,4312.5,3468125.0
19.721774953360942,4703.125,3472828.125
19.785779018776587,4296.875,3477125.0
19.849783084192232,4562.5,3481687.5
19.913787149607884,4703.125,3486390.625
19.97779121502353,4515.625,3490906.25
20.041795280439175,5406.25,3496312.5
20.105799345854827,4296.875,3500609.375
20.169803411270472,4484.375,3505093.75
20.233807476686117,4687.5,3509781.25
20.29781154210177,4453.125,3514234.375
20.361815607517414,4203.125,3518437.5
20.42581967293306,4062.5,3522500.0
20.489823738348704,4796.875,3527296.875
20.553827803764356,4296.875,3531593.75
20.61783186918,4625.0,3536218.75
20.681835934595647,4343.75,3540562.5
20.7458400000113,4484.375,3545046.875
20.809844065426944,4312.5,3549359.375
20.87384813084259,4234.375,3553593.75
20.93785219625824,4156.25,3557750.0
21.001856261673886,4312.5,3562062.5
21.06586032708953,4312.5,3566375.0
21.129864392505176,4046.875,3570421.875
21.19386845792083,3812.5,3574234.375
21.257872523336474,4468.75,3578703.125
21.32187658875212,4328.125,3583031.25
21.38588065416777,4234.375,3587265.625
21.449884719583416,4312.5,3591578.125
21.51388878499906,4328.125,3595906.25
21.577892850414713,4375.0,3600281.25
21.64189691583036,4312.5,3604593.75
21.705900981246003,4359.375,3608953.125
21.769905046661655,4312.5,3613265.625
21.8339091120773,4187.5,3617453.125
21.897913177492946,4031.25,3621484.375
21.96191724290859,4500.0,3625984.375
22.025921308324243,4250.0,3630234.375
22.089925373739888,4671.875,3634906.25
22.153929439155533,4187.5,3639093.75
22.217933504571185,4828.125,3643921.875
22.28193756998683,4828.125,3648750.0
22.345941635402475,4656.25,3653406.25
22.409945700818128,4437.5,3657843.75
22.473949766233773,4515.625,3662359.375
22.537953831649418,4515.625,3666875.0
22.601957897065063,4546.875,3671421.875
22.665961962480715,4078.125,3675500.0
22.72996602789636,4453.125,3679953.125
22.793970093312005,4656.25,3684609.375
22.857974158727657,4453.125,3689062.5
22.921978224143302,4328.125,3693390.625
22.985982289558947,4312.5,3697703.125
23.0499863549746,4328.125,3702031.25
23.113990420390245,4750.0,3706781.25
23.17799448580589,4562.5,3711343.75
23.241998551221542,4562.5,3715906.25
23.306002616637187,4609.375,3720515.625
23.370006682052832,4218.75,3724734.375
23.434010747468477,4453.125,3729187.5
23.49801481288413,4250.0,3733437.5
23.562018878299774,4718.75,3738156.25
23.62602294371542,4671.875,3742828.125
23.69002700913107,4281.25,3747109.375
23.754031074546717,4796.875,3751906.25
23.81803513996236,4031.25,3755937.5
23.882039205378014,3828.125,3759765.625
23.94604327079366,4218.75,3763984.375
24.010047336209304,4843.75,3768828.125
24.07405140162495,4156.25,3772984.375
24.1380554670406,4406.25,3777390.625
24.202059532456246,4187.5,3781578.125
24.26606359787189,4625.0,3786203.125
24.330067663287544,4812.5,3791015.625
24.39407172870319,4812.5,3795828.125
24.458075794118834,4421.875,3800250.0
24.522079859534486,4140.625,3804390.625
24.58608392495013,4093.75,3808484.375
24.650087990365776,4875.0,3813359.375
24.71409205578143,4265.625,3817625.0
24.778096121197073,4546.875,3822171.875
24.84210018661272,4312.5,3826484.375
24.906104252028364,4656.25,3831140.625
24.970108317444016,4343.75,3835484.375
25.03411238285966,4640.625,3840125.0
25.098116448275306,4734.375,3844859.375
25.162120513690958,4406.25,3849265.625
25.226124579106603,4281.25,3853546.875
25.290128644522248,4390.625,3857937.5
